state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,All
Odisha,5.4,12.1,11.3,21.9,21.35,26.8,15.95,18.2,17.4,12.7,20.95,20.25,15.3,14.333333333333334,9.67,12.4,13.7,13.45,17.0,17.4,18.26666667,18.1,17.0,16.0,16.0,16.0,15.7
Puducherry,14.7,10.8,28.2,30.1,42.45,57.0,35.85,37.55,58.4,26.25,21.2,13.7,12.45,23.666666666666668,17.0,14.1,10.05,7.6,11.0,6.9,13.33333333,16.0,14.0,14.0,12.0,11.0,13.0
Punjab,41.8,56.0,45.1,41.5,52.95,24.0,39.45,45.1,43.2,35.8,30.450000000000003,31.299999999999997,28.8,33.0,35.0,31.8,30.8,32.0,30.2,28.3,28.0,27.5,28.0,25.0,24.0,20.0,28.5
Rajasthan,60.65,66.0,61.05,52.9,63.45,38.45,34.7,38.2,28.0,34.7,39.7,34.6,30.65,13.0,22.0,19.6,21.2,23.5,25.9,25.3,29.415,29.0,36.0,25.0,33.0,30.0,26.2
Sikkim,38.5,41.05,35.974999999999994,32.95,38.875,25.85,21.8,25.775000000000002,21.75,23.375,30.0,27.625,25.799999999999997,13.3,17.6425,20.625,22.375,26.8,23.049999999999997,22.950000000000003,24.52,25.0,28.0,22.5,27.5,25.5,26.8
Tamil Nadu,16.35,16.1,10.9,13.0,14.3,13.25,8.9,13.350000000000001,15.5,12.05,20.3,20.65,20.95,13.6,13.285,21.65,23.55,20.5,20.2,20.6,19.625,21.0,20.0,20.0,22.0,21.0,20.5
Telangana,15.666666666666668,15.600000000000001,12.766666666666667,14.766666666666667,15.1,14.766666666666667,12.4,15.200000000000001,17.8,14.450000000000001,19.633333333333333,20.9,21.166666666666668,13.9,16.256666666666668,22.266666666666666,23.533333333333335,22.833333333333332,22.9,23.566666666666666,23.49833333333333,23.0,23.333333333333332,22.333333333333332,24.0,20.0,22.0
Tripura,14.983333333333334,15.1,14.633333333333333,16.533333333333335,15.9,16.283333333333335,15.899999999999999,17.05,20.099999999999998,16.85,18.96666666666667,21.15,21.383333333333333,14.2,19.22833333333333,22.883333333333333,23.516666666666666,25.166666666666668,25.6,26.533333333333335,27.371666666666666,25.0,26.666666666666668,24.666666666666668,25.5,23.5,46.0
Uttar Pradesh,14.3,14.6,16.5,18.3,16.7,17.8,19.4,18.9,22.4,19.25,18.3,21.4,21.6,14.5,22.2,23.5,23.5,27.5,28.3,29.5,31.244999999999997,27.0,30.0,27.0,27.0,27.0,27.0
Uttarakhand,29.183333333333337,27.666666666666664,24.366666666666667,41.833333333333336,48.63333333333333,31.033333333333335,18.366666666666667,23.5,25.23333333333333,21.466666666666665,26.733333333333334,33.166666666666664,35.8,14.8,22.0,24.4,26.025,27.95,28.049999999999997,40.0,29.3625,22.0,29.0,29.0,33.0,29.0,29.0
Uttaranchal,44.06666666666667,40.73333333333333,32.233333333333334,65.36666666666667,80.56666666666666,44.266666666666666,17.333333333333332,28.1,28.066666666666666,23.683333333333334,35.16666666666667,44.93333333333334,49.99999999999999,15.1,36.1,25.3,28.55,28.4,27.799999999999997,50.5,44.83125,37.5,38.0,42.415,39.0,37.0,27.8
West Bengal,58.95,53.8,40.1,88.9,112.5,57.5,16.3,32.7,30.9,25.9,43.6,56.7,64.19999999999999,15.4,50.2,47.0,50.3,54.7,61.5,61.0,60.3,53.0,47.0,55.83,45.0,45.0,53.9
andaman-and-nicobar-islands,38.575,36.375,31.950000000000003,54.85,67.05,40.75,19.200000000000003,27.55,26.7,24.75,34.075,39.650000000000006,43.349999999999994,15.7,37.3,35.5,36.55,38.55,42.0,41.8,40.7,38.5,34.0,37.415,33.0,32.5,46.0
All,18.2,18.95,23.8,20.8,21.6,24.0,22.1,22.4,22.5,23.6,24.55,22.6,22.5,16.0,24.4,24.0,22.8,22.4,22.5,22.6,21.1,24.0,21.0,19.0,21.0,20.0,21.6
