state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,All
Nagaland,8.55,11.216666666666667,11.8,15.81,13.22,17.266666666666666,16.439999999999998,11.666666666666668,7.766666666666667,7.083333333333334,6.466666666666666,5.833333333333334,6.566666666666668,2.0,2.0,2.0,2.5,3.4,5.8,3.7,2.0,2.0,2.5,2.0,3.0,2.0,2.0
Odisha,7.4,15.7,11.8,17.3,13.05,21.7,17.299999999999997,14.5,11.2,10.3,9.45,7.75,8.8,5.0,2.0,5.0,4.4,5.2,5.1,3.4,2.35,2.0,3.0,2.0,4.0,2.0,4.0
Puducherry,4.7,8.6,16.675,15.25,17.85,35.4,45.95,41.75,38.3,20.25,17.2,19.0,16.9,8.0,22.0,16.7,8.1,4.3,4.4,3.0,5.966666667,7.0,7.5,6.0,6.0,8.0,7.0
Punjab,13.1,21.6,21.55,13.275,13.275,47.9,16.3,20.85,25.45,20.8,13.8,12.850000000000001,11.25,11.0,13.0,14.0,11.8,11.0,9.8,9.3,9.0,9.8,9.0,9.0,8.0,7.0,10.0
Rajasthan,12.45,12.2,14.350000000000001,11.3,8.7,9.85,12.6,13.5,12.6,12.6,15.1,9.0,9.5,10.0,6.0,7.5,6.3,6.4,6.4,5.9,5.766666667000001,6.0,7.0,6.0,7.0,6.0,6.2
Sikkim,12.649999999999999,10.7,10.525,9.325,7.85,8.25,9.3,12.175,11.149999999999999,9.0,11.35,8.1,8.925,9.6,5.885,8.6,9.15,19.8,8.0,7.5,7.308333333500002,7.0,8.0,9.0,9.5,8.5,19.8
Tamil Nadu,12.85,9.2,6.7,7.35,7.0,6.65,6.0,10.850000000000001,9.7,5.4,7.6,7.199999999999999,8.350000000000001,9.2,5.7700000000000005,9.7,12.0,9.7,9.6,9.1,8.850000000000003,8.0,9.0,12.0,12.0,11.0,10.0
Telangana,15.799999999999999,10.766666666666666,6.6000000000000005,11.600000000000001,11.966666666666665,11.866666666666667,11.2,12.966666666666667,12.566666666666666,9.883333333333333,11.733333333333334,11.533333333333331,11.366666666666667,8.8,8.546666666666667,10.299999999999999,10.9,9.633333333333333,9.4,8.866666666666667,9.033333333333335,8.266666666666667,9.333333333333334,10.666666666666666,5.0,5.0,5.0
Tripura,18.75,12.333333333333334,6.5,15.850000000000001,16.93333333333333,17.083333333333336,16.4,15.083333333333332,15.433333333333334,14.366666666666667,15.866666666666667,15.866666666666665,14.383333333333333,8.4,11.323333333333332,10.9,9.799999999999999,9.566666666666666,9.2,8.633333333333333,9.216666666666669,8.533333333333333,9.666666666666666,9.333333333333334,6.5,6.5,20.0
Uttar Pradesh,21.7,13.9,6.4,20.1,21.9,22.3,21.6,17.2,18.3,18.85,20.0,20.2,17.4,8.0,14.1,11.5,8.7,9.5,9.0,8.4,9.4,8.8,10.0,8.0,8.0,8.0,9.0
Uttarakhand,24.7,22.666666666666668,11.0,26.283333333333335,25.433333333333334,26.916666666666668,17.166666666666668,20.083333333333332,20.96666666666667,21.35,19.133333333333333,17.6,14.766666666666666,7.6,18.0,16.15,17.125,17.9,17.575,8.9,27.3025,21.0,26.5,26.0,7.666666666666667,26.0,26.0
Uttaranchal,27.7,31.433333333333337,15.6,32.46666666666667,28.966666666666665,31.53333333333334,12.733333333333334,22.96666666666667,23.633333333333333,23.85,18.266666666666666,15.0,12.133333333333333,7.199999999999999,15.85,20.799999999999997,25.55,26.3,26.15,9.4,18.00125,15.0,19.25,17.65,7.333333333333333,15.5,25.5
West Bengal,30.7,40.2,20.2,38.65,32.5,36.150000000000006,8.3,25.85,26.3,26.35,17.4,12.4,9.5,6.8,13.7,6.8,5.6,6.1,7.3,9.9,8.7,9.0,12.0,9.3,7.0,5.0,8.0
andaman-and-nicobar-islands,21.4,26.150000000000002,16.5,27.0,24.1,27.575000000000003,11.45,20.775,20.25,20.925,15.6,12.45,9.9,6.4,11.35,7.85,6.8,7.05,7.65,8.65,8.35,8.5,9.6,8.15,7.0,5.5,20.0
All,12.1,12.1,12.8,15.350000000000001,15.7,19.0,14.6,15.7,14.2,15.5,13.8,12.5,10.3,6.0,9.0,8.9,8.0,8.0,8.0,7.4,8.0,8.0,7.2,7.0,7.0,6.0,7.8
