YEAR,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,JAN-FEB,JUN-SEP,MAR,MAY,MAR-MAY,NOV,OCT,OCT-DEC,SEP
1940,1133.55,17.4,299.3,13.600000000000001,12.600000000000001,1.4,267.65,144.3,21.25,844.35,14.8,50.3,112.9,18.8,64.0,95.75,106.15
1941,949.7,5.1,235.14999999999998,4.0,8.15,16.85,192.89999999999998,140.3,27.2,708.95,3.4,39.8,55.25,2.0,51.05,65.35,163.89999999999998
1942,1239.8,30.2,320.8,11.9,20.25,6.3,362.4,156.8,25.950000000000003,1105.7,2.5,28.2,62.7,1.6,20.9,57.3,159.2
1943,1152.4,29.1,203.1,0.0,2.1,34.7,316.4,134.4,51.6,848.4,1.6,47.6,87.6,1.3,71.8,80.1,195.4
1944,1227.6,24.8,304.1,1.2,24.4,20.1,349.8,105.9,54.4,885.6,49.5,18.7,103.4,7.2,89.7,109.7,147.0
1945,1199.4,25.6,238.4,0.9,0.7,18.3,332.1,129.6,22.2,894.6,0.3,21.3,55.1,1.3,63.2,93.9,267.9
1946,1250.7,33.65,297.9,10.4,10.0,0.0,329.4,168.7,11.3,1041.9,5.2,41.8,104.8,34.6,75.5,176.8,146.2
1947,1092.1,12.7,280.05,13.7,10.7,17.700000000000003,297.35,88.7,26.9,943.7,11.65,19.950000000000003,67.4,2.3,43.55,66.9,253.3
1948,1247.6,20.0,312.4,0.5,9.9,16.9,289.4,125.1,45.4,968.1,7.9,21.4,73.6,74.2,66.8,156.9,205.1
1949,1217.3,12.9,265.7,0.1,3.05,2.1,331.2,115.0,8.55,963.35,2.65,68.4,113.44999999999999,1.5,96.3,104.8,247.95
1950,1124.6,2.55,254.15,1.5,14.05,0.8500000000000001,370.85,91.2,21.4,859.2,20.5,39.25,65.8,3.45,30.299999999999997,38.55,195.2
1951,1017.35,22.15,197.55,0.1,0.4,4.55,256.3,135.25,5.35,749.7,30.75,41.25,117.15,30.349999999999998,75.25,99.1,152.5
1952,1002.75,19.049999999999997,287.1,3.8499999999999996,10.7,0.9,274.05,155.25,15.2,789.65,12.1,50.7,109.55,0.5,75.55,92.55,83.80000000000001
1953,1255.9,22.1,294.35,0.5,3.2,17.2,362.55,153.64999999999998,30.35,1000.4,0.3,15.100000000000001,41.25,1.3,56.0,94.6,160.4
1954,1080.0,7.2,222.7,8.8,5.9,12.4,300.4,114.9,20.9,958.3,10.1,29.7,42.3,0.4,46.2,66.2,250.8
1955,1244.2,13.8,310.8,0.3,2.2,9.5,238.0,172.5,15.8,953.4,5.9,28.2,64.0,5.5,155.9,192.0,230.7
1956,1366.6,11.3,281.1,4.9,3.1,7.9,356.8,209.6,19.6,904.1,7.1,64.0,103.6,37.3,164.6,212.9,171.9
1957,1017.6,14.4,293.35,1.55,2.5,14.8,293.05,137.7,21.8,867.9000000000001,20.1,30.3,75.8,9.25,65.7,80.35,113.15
1958,1169.5,24.65,285.55,2.75,3.35,6.800000000000001,338.5,95.25,11.75,989.55,10.15,33.849999999999994,65.5,12.399999999999999,109.0,125.1,235.0
1959,1399.15,18.05,277.85,0.35,3.55,19.0,379.85,168.64999999999998,27.6,1063.15,2.05,39.349999999999994,61.05,10.2,93.85,138.1,235.14999999999998
1960,1122.4499999999998,5.7,278.1,1.5,0.1,4.5,309.25,131.9,6.8,855.0999999999999,25.0,36.8,75.8,3.7,71.5,87.25,202.15
1961,1349.95,11.350000000000001,315.9,4.05,27.0,11.5,308.1,158.1,45.8,973.5,2.85,42.9,69.75,7.9,141.45,157.7,220.95
1962,1124.7,33.85,263.65,26.4,11.75,8.55,266.45,83.3,21.35,879.1500000000001,7.8,41.099999999999994,97.44999999999999,12.8,53.849999999999994,123.6,224.75
1963,1096.4499999999998,36.8,345.4,1.85,4.9,1.2999999999999998,279.85,150.95,7.300000000000001,921.0,9.95,36.65,91.4,11.45,92.95,136.4,150.75
1964,1091.75,6.35,246.75,1.7999999999999998,2.65,1.05,359.70000000000005,126.85,5.35,956.9000000000001,3.9,32.05,38.2,5.9,63.15,79.85,219.9
1965,851.6500000000001,21.200000000000003,186.15,3.9000000000000004,4.35,4.699999999999999,282.0,104.6,8.9,669.9000000000001,10.0,18.799999999999997,55.3,2.5999999999999996,23.65,48.650000000000006,147.95
1966,986.9,10.1,213.65,11.149999999999999,3.1500000000000004,13.3,254.75,136.10000000000002,19.4,727.1500000000001,2.8,44.3,62.2,34.35,37.65,107.19999999999999,158.25
1967,1109.85,17.0,256.35,35.400000000000006,0.1,2.05,335.6,128.15,2.4,941.45,44.15,23.4,99.35,2.1,27.15,93.25,146.6
1968,987.3,17.75,220.4,2.15,8.9,14.35,311.45000000000005,100.6,30.1,780.75,12.2,16.950000000000003,57.1,13.8,67.25,98.15,158.15
1969,1122.3,16.8,271.9,1.05,2.1,3.15,309.25,102.0,7.95,940.3,3.2,54.3,79.1,23.4,31.6,57.5,204.95
1970,1122.75,17.35,317.6,0.0,15.850000000000001,15.9,219.55,196.8,31.7,996.4,8.8,44.65,87.8,0.15000000000000002,59.0,63.15,209.2
1971,1205.4,31.5,283.4,0.0,12.65,13.3,293.1,203.5,28.9,1017.25,5.25,70.55,135.05,5.45,108.65,109.85,157.55
1972,1012.3,13.25,209.9,3.8499999999999996,11.25,1.85,196.2,101.4,14.95,615.45,1.1,13.0,34.849999999999994,25.85,47.8,74.65,135.15
1973,1161.0,4.1,317.6,6.5,5.45,1.5,261.85,111.85,7.0,934.2,2.6,40.6,54.75,5.35,134.6,171.1,157.35000000000002
1974,928.3499999999999,11.0,231.0,1.25,1.3,0.2,269.45000000000005,94.85,3.35,761.5,4.6,48.05,74.5,3.75,108.9,122.6,166.2
1975,1220.65,3.75,260.15,0.05,8.05,8.399999999999999,272.05,162.64999999999998,20.3,1071.75,10.95,31.8,56.5,2.9,124.5,147.35,248.5
1976,1045.6,21.200000000000003,313.35,1.1,3.8,2.2,297.05,96.05,9.8,925.1500000000001,5.1,28.0,57.0,35.0,17.9,58.3,127.75
1977,1226.4,23.75,238.2,6.7,3.3,5.1,340.65,169.1,13.6,906.8,4.55,72.7,111.15,47.85,65.4,156.9,163.25
1978,1270.1,26.45,275.5,5.95,17.95,4.05,292.35,198.3,23.55,1054.3000000000002,18.75,33.45,94.0,33.35,63.95,109.0,185.1
1979,998.9,12.149999999999999,191.4,8.5,26.3,8.95,214.0,131.0,33.8,770.8,4.699999999999999,27.5,49.7,52.6,31.450000000000003,105.44999999999999,161.25
1980,1183.35,15.850000000000001,290.55,16.35,2.3499999999999996,4.6,322.04999999999995,241.85,7.1,893.9,9.05,23.700000000000003,63.2,2.7,26.65,70.6,132.45
1981,1145.3,13.649999999999999,266.85,6.9,3.1500000000000004,14.85,300.95,136.10000000000002,22.25,982.45,20.6,49.1,77.4,22.200000000000003,32.95,68.0,243.6
1982,1044.4,23.0,280.3,1.65,5.4,5.6,225.85,107.6,18.2,777.0,11.0,45.349999999999994,94.5,34.0,46.400000000000006,93.85,120.4
1983,1227.15,17.049999999999997,314.15,12.899999999999999,2.95,3.2,272.05,139.4,16.1,1001.3499999999999,2.0,51.400000000000006,86.45,1.35,88.8,111.15,267.75
1984,1070.3000000000002,14.2,236.2,1.65,11.850000000000001,18.25,257.70000000000005,122.05,35.15,811.8,3.55,15.1,48.1,2.4000000000000004,77.94999999999999,102.55,129.1
1985,1141.25,11.5,240.65,9.2,0.45,8.1,273.6,124.94999999999999,19.25,751.05,3.9000000000000004,28.35,46.25,1.6,118.5,156.45,135.14999999999998
1986,1093.6,13.75,240.25,13.5,19.95,9.55,304.75,174.25,28.1,826.0999999999999,5.25,37.05,67.85,32.5,53.55,143.45,106.2
1987,1011.4499999999999,9.35,226.55,10.75,5.35,7.95,155.45,114.65,16.05,650.95,7.95,47.7,79.6,34.45,89.30000000000001,148.05,125.45
1988,1214.4499999999998,26.9,282.75,6.550000000000001,12.3,1.0,364.1,135.9,14.8,1075.45,14.649999999999999,31.45,91.4,2.4,36.2,65.75,222.14999999999998
1989,1108.65,3.05,263.4,10.7,0.1,2.0999999999999996,311.70000000000005,153.2,4.0,918.2,16.75,28.5,64.75,5.25,25.75,57.400000000000006,177.75
1990,1392.1,7.6,272.54999999999995,5.1,26.35,2.0,292.6,158.89999999999998,31.25,1038.1999999999998,15.35,105.0,148.7,10.3,131.05,170.2,189.55
1991,1033.2,19.75,260.25,10.0,4.05,10.75,265.35,170.10000000000002,18.75,793.75,8.4,30.35,64.95,9.100000000000001,25.2,56.7,107.4
1992,1026.05,4.3,283.05,0.05,2.7,4.6,255.35000000000002,131.3,8.0,832.55,0.35,43.5,59.75,10.8,63.2,76.0,150.45
1993,1100.6,11.350000000000001,198.25,2.2,5.05,1.35,300.6,145.25,6.9,906.35,15.950000000000001,47.95,66.9,10.75,91.45,105.2,179.95
1994,1418.65,23.450000000000003,297.25,0.15000000000000002,17.35,11.2,340.54999999999995,203.0,32.0,895.3,1.55,30.950000000000003,51.05,5.300000000000001,79.9,93.75,156.05
1995,1196.3000000000002,10.9,322.70000000000005,3.5,8.45,23.950000000000003,321.4,115.9,41.599999999999994,852.25,14.2,33.85,67.85,17.45,81.7,138.14999999999998,169.45
1996,1096.3000000000002,18.85,327.7,0.4,6.85,10.65,264.45000000000005,181.8,20.45,874.6,3.55,20.25,46.5,2.7,94.30000000000001,100.94999999999999,160.35
1997,1137.8,31.5,272.04999999999995,43.900000000000006,0.8,7.7,281.4,166.35000000000002,8.8,860.1500000000001,8.600000000000001,27.799999999999997,80.0,47.0,52.6,132.89999999999998,154.55
1998,1162.65,17.3,248.45,0.0,8.649999999999999,6.45,275.8,141.64999999999998,22.3,893.45,15.7,33.150000000000006,73.0,24.200000000000003,128.5,155.45,229.45
1999,1147.25,2.45,226.2,0.30000000000000004,5.0,1.4,277.1,149.8,9.4,884.5999999999999,0.55,74.4,86.6,2.75,117.0,132.9,191.7
2000,1068.4,18.6,227.25,1.2,18.9,2.6,264.70000000000005,193.15,31.7,858.5,1.25,57.0,94.85,2.75,23.4,31.150000000000002,123.15
